purchase_date,usd_brl_rate,selic_rate,selic_target,ipca_inflation,usd_brl_change,usd_brl_volatility,usd_brl_30day_avg,usd_brl_high,usd_brl_low,selic_changed,high_interest_period
2017-09-17,3.124433333333333,0.031096,8.25,0.16,-0.00017066848713065408,0.017108001160362412,3.132721666666667,0,0,0,0
2017-09-18,3.1239,0.031096,8.25,0.16,-0.00017069761983501408,0.007069612294084784,3.131572777777778,0,0,0,0
2017-09-19,3.1323,0.031096,8.25,0.16,0.002688946509171286,0.005076593241638896,3.1309383333333334,0,0,0,0
2017-09-20,3.1281,0.031096,8.25,0.16,-0.0013408677329758145,0.004434001620390482,3.1303983333333334,0,0,0,0
2017-09-21,3.1347,0.031096,8.25,0.16,0.002109906972283637,0.004237574428407294,3.1297583333333336,0,0,0,0
2017-09-22,3.1285,0.031096,8.25,0.16,-0.0019778607203241316,0.004128286729625908,3.1288116666666665,0,0,0,0
2017-09-23,3.1327333333333334,0.031096,8.25,0.16,0.0013531511373927607,0.004180219229117801,3.128556111111111,0,0,0,0
2017-09-24,3.1369666666666665,0.031096,8.25,0.16,0.0013513225936880868,0.004454395605566617,3.1282483333333335,0,0,0,0
2017-09-25,3.1412,0.031096,8.25,0.16,0.0013494989852194106,0.004635650899119647,3.1279694444444446,0,0,0,0
2017-09-26,3.1674,0.031096,8.25,0.16,0.008340761492423354,0.013544396916435157,3.1284516666666664,0,0,0,0
2017-09-27,3.1932,0.031096,8.25,0.16,0.008145482098882217,0.023725317444239533,3.129681666666666,0,0,0,0
2017-09-28,3.1871,0.031096,8.25,0.16,-0.0019103094074909288,0.02694585792396492,3.130268333333333,0,0,0,0
2017-09-29,3.168,0.031096,8.25,0.16,-0.005992908914059791,0.024415270830664308,3.1304083333333335,0,0,0,0
2017-09-30,3.1667333333333336,0.031096,8.25,0.16,-0.0003998316498315946,0.021012862022333014,3.131062777777778,0,0,0,0
2017-10-01,3.1654666666666667,0.031096,8.25,0.42,-0.0003999915791247366,0.016842191602895597,3.132135,0,0,0,0
2017-10-02,3.1642,0.031096,8.25,0.42,-0.0004001516364094959,0.01180747902161121,3.133102777777778,0,0,0,0
2017-10-03,3.1502,0.031096,8.25,0.42,-0.004424499083496736,0.014652202463666232,3.133541666666667,0,0,0,0
2017-10-04,3.1315,0.031096,8.25,0.42,-0.00593613103929902,0.017198211116499766,3.1332949999999995,0,0,0,0
2017-10-05,3.1347,0.031096,8.25,0.42,0.001021874501037967,0.01573595787899805,3.133775,0,0,0,0
2017-10-06,3.1648,0.031096,8.25,0.42,0.009602194787379892,0.015315892427338038,3.135491666666667,0,0,0,0
2017-10-07,3.1688666666666667,0.031096,8.25,0.42,0.001284967981125762,0.015630808338387318,3.1377188888888887,0,0,0,0
2017-10-08,3.1729333333333334,0.031096,8.25,0.42,0.0012833189573560055,0.01673946166155912,3.1404566666666667,0,0,0,0
2017-10-09,3.177,0.031096,8.25,0.42,0.001281674160608537,0.018480467308942785,3.1433922222222224,0,0,0,0
2017-10-10,3.1688,0.031096,8.25,0.42,-0.0025810513062637375,0.018652206700925426,3.146116666666667,0,0,0,0
2017-10-11,3.1639,0.031096,8.25,0.42,-0.0015463266851805102,0.013864722467462696,3.1487400000000005,0,0,0,0
2017-10-12,3.1605499999999997,0.031096,8.25,0.42,-0.0010588198109928726,0.005615130966098151,3.1502783333333335,0,0,0,0
