purchase_date,weekday,month,is_holiday,holiday_name,is_carnival,is_weekend,is_friday,season,christmas_season,is_major_event,is_shopping_holiday,day_of_month,is_mid_month,is_last_3_days,is_day_24_non_december
2017-01-03,1,1,0,,0,0,0,Summer,0,0,0,3,0,0,0
2017-01-04,2,1,0,,0,0,0,Summer,0,0,0,4,0,0,0
2017-01-05,3,1,0,,0,0,0,Summer,0,0,0,5,0,0,0
2017-01-06,4,1,0,,0,0,1,Summer,0,0,0,6,0,0,0
2017-01-07,5,1,0,,0,1,0,Summer,0,0,0,7,0,0,0
2017-01-08,6,1,0,,0,1,0,Summer,0,0,0,8,0,0,0
2017-01-09,0,1,0,,0,0,0,Summer,0,0,0,9,0,0,0
2017-01-10,1,1,0,,0,0,0,Summer,0,0,0,10,0,0,0
2017-01-11,2,1,0,,0,0,0,Summer,0,0,0,11,0,0,0
2017-01-12,3,1,0,,0,0,0,Summer,0,0,0,12,0,0,0
2017-01-13,4,1,0,,0,0,1,Summer,0,0,0,13,0,0,0
2017-01-14,5,1,0,,0,1,0,Summer,0,0,0,14,1,0,0
2017-01-15,6,1,0,,0,1,0,Summer,0,0,0,15,1,0,0
2017-01-16,0,1,0,,0,0,0,Summer,0,0,0,16,1,0,0
2017-01-17,1,1,0,,0,0,0,Summer,0,0,0,17,0,0,0
2017-01-18,2,1,0,,0,0,0,Summer,0,0,0,18,0,0,0
2017-01-19,3,1,0,,0,0,0,Summer,0,0,0,19,0,0,0
2017-01-20,4,1,0,,0,0,1,Summer,0,0,0,20,0,0,0
2017-01-21,5,1,0,,0,1,0,Summer,0,0,0,21,0,0,0
2017-01-22,6,1,0,,0,1,0,Summer,0,0,0,22,0,0,0
2017-01-23,0,1,0,,0,0,0,Summer,0,0,0,23,0,0,0
2017-01-24,1,1,0,,0,0,0,Summer,0,0,0,24,0,0,1
2017-01-25,2,1,0,,0,0,0,Summer,0,0,0,25,0,0,0
2017-01-26,3,1,0,,0,0,0,Summer,0,0,0,26,0,0,0
2017-01-27,4,1,0,,0,0,1,Summer,0,0,0,27,0,0,0
2017-01-28,5,1,0,,0,1,0,Summer,0,0,0,28,0,0,0
2017-01-29,6,1,0,,0,1,0,Summer,0,0,0,29,0,1,0
2017-01-30,0,1,0,,0,0,0,Summer,0,0,0,30,0,1,0
2017-01-31,1,1,0,,0,0,0,Summer,0,0,0,31,0,1,0
2017-02-01,2,2,0,,0,0,0,Summer,0,0,0,1,0,0,0
2017-02-02,3,2,0,,0,0,0,Summer,0,0,0,2,0,0,0
2017-02-03,4,2,0,,0,0,1,Summer,0,0,0,3,0,0,0
2017-02-04,5,2,0,,0,1,0,Summer,0,0,0,4,0,0,0
2017-02-05,6,2,0,,0,1,0,Summer,0,0,0,5,0,0,0
2017-02-06,0,2,0,,0,0,0,Summer,0,0,0,6,0,0,0
2017-02-07,1,2,0,,0,0,0,Summer,0,0,0,7,0,0,0
2017-02-08,2,2,0,,0,0,0,Summer,0,0,0,8,0,0,0
2017-02-09,3,2,0,,0,0,0,Summer,0,0,0,9,0,0,0
2017-02-10,4,2,0,,0,0,1,Summer,0,0,0,10,0,0,0
2017-02-11,5,2,0,,0,1,0,Summer,0,0,0,11,0,0,0
2017-02-12,6,2,0,,0,1,0,Summer,0,0,0,12,0,0,0
2017-02-13,0,2,0,,0,0,0,Summer,0,0,0,13,0,0,0
2017-02-14,1,2,0,,0,0,0,Summer,0,0,0,14,1,0,0
2017-02-15,2,2,0,,0,0,0,Summer,0,0,0,15,1,0,0
2017-02-16,3,2,0,,0,0,0,Summer,0,0,0,16,1,0,0
2017-02-17,4,2,0,,0,0,1,Summer,0,0,0,17,0,0,0
2017-02-18,5,2,0,,0,1,0,Summer,0,0,0,18,0,0,0
2017-02-19,6,2,0,,0,1,0,Summer,0,0,0,19,0,0,0
2017-02-20,0,2,0,,0,0,0,Summer,0,0,0,20,0,0,0
2017-02-21,1,2,0,,0,0,0,Summer,0,0,0,21,0,0,0
2017-02-22,2,2,0,,0,0,0,Summer,0,0,0,22,0,0,0
2017-02-23,3,2,0,,0,0,0,Summer,0,0,0,23,0,0,0
2017-02-24,4,2,0,,0,0,1,Summer,0,0,0,24,0,0,1
2017-02-25,5,2,0,,0,1,0,Summer,0,0,0,25,0,0,0
2017-02-26,6,2,0,,0,1,0,Summer,0,0,0,26,0,1,0
2017-02-27,0,2,0,,0,0,0,Summer,0,0,0,27,0,1,0
2017-02-28,1,2,0,,0,0,0,Summer,0,0,0,28,0,1,0
2017-03-01,2,3,0,,0,0,0,Autumn,0,0,0,1,0,0,0
2017-03-02,3,3,0,,0,0,0,Autumn,0,0,0,2,0,0,0
2017-03-03,4,3,0,,0,0,1,Autumn,0,0,0,3,0,0,0
2017-03-04,5,3,0,,0,1,0,Autumn,0,0,0,4,0,0,0
2017-03-05,6,3,0,,0,1,0,Autumn,0,0,0,5,0,0,0
2017-03-06,0,3,0,,0,0,0,Autumn,0,0,0,6,0,0,0
2017-03-07,1,3,0,,0,0,0,Autumn,0,0,0,7,0,0,0
2017-03-08,2,3,0,,0,0,0,Autumn,0,0,0,8,0,0,0
2017-03-09,3,3,0,,0,0,0,Autumn,0,0,0,9,0,0,0
2017-03-10,4,3,0,,0,0,1,Autumn,0,0,0,10,0,0,0
2017-03-11,5,3,0,,0,1,0,Autumn,0,0,0,11,0,0,0
2017-03-12,6,3,0,,0,1,0,Autumn,0,0,0,12,0,0,0
2017-03-13,0,3,0,,0,0,0,Autumn,0,0,0,13,0,0,0
2017-03-14,1,3,0,,0,0,0,Autumn,0,0,0,14,1,0,0
2017-03-15,2,3,0,,0,0,0,Autumn,0,0,0,15,1,0,0
2017-03-16,3,3,0,,0,0,0,Autumn,0,0,0,16,1,0,0
2017-03-17,4,3,0,,0,0,1,Autumn,0,0,0,17,0,0,0
2017-03-18,5,3,0,,0,1,0,Autumn,0,0,0,18,0,0,0
2017-03-19,6,3,0,,0,1,0,Autumn,0,0,0,19,0,0,0
2017-03-20,0,3,0,,0,0,0,Autumn,0,0,0,20,0,0,0
2017-03-21,1,3,0,,0,0,0,Autumn,0,0,0,21,0,0,0
2017-03-22,2,3,0,,0,0,0,Autumn,0,0,0,22,0,0,0
2017-03-23,3,3,0,,0,0,0,Autumn,0,0,0,23,0,0,0
2017-03-24,4,3,0,,0,0,1,Autumn,0,0,0,24,0,0,1
2017-03-25,5,3,0,,0,1,0,Autumn,0,0,0,25,0,0,0
2017-03-26,6,3,0,,0,1,0,Autumn,0,0,0,26,0,0,0
2017-03-27,0,3,0,,0,0,0,Autumn,0,0,0,27,0,0,0
2017-03-28,1,3,0,,0,0,0,Autumn,0,0,0,28,0,0,0
2017-03-29,2,3,0,,0,0,0,Autumn,0,0,0,29,0,1,0
2017-03-30,3,3,0,,0,0,0,Autumn,0,0,0,30,0,1,0
2017-03-31,4,3,0,,0,0,1,Autumn,0,0,0,31,0,1,0
2017-04-01,5,4,0,,0,1,0,Autumn,0,0,0,1,0,0,0
2017-04-02,6,4,0,,0,1,0,Autumn,0,0,0,2,0,0,0
2017-04-03,0,4,0,,0,0,0,Autumn,0,0,0,3,0,0,0
2017-04-04,1,4,0,,0,0,0,Autumn,0,0,0,4,0,0,0
2017-04-05,2,4,0,,0,0,0,Autumn,0,0,0,5,0,0,0
2017-04-06,3,4,0,,0,0,0,Autumn,0,0,0,6,0,0,0
2017-04-07,4,4,0,,0,0,1,Autumn,0,0,0,7,0,0,0
2017-04-08,5,4,0,,0,1,0,Autumn,0,0,0,8,0,0,0
2017-04-09,6,4,0,,0,1,0,Autumn,0,0,0,9,0,0,0
2017-04-10,0,4,0,,0,0,0,Autumn,0,0,0,10,0,0,0
2017-04-11,1,4,0,,0,0,0,Autumn,0,0,0,11,0,0,0
2017-04-12,2,4,0,,0,0,0,Autumn,0,0,0,12,0,0,0
2017-04-13,3,4,0,,0,0,0,Autumn,0,0,0,13,0,0,0
2017-04-14,4,4,1,Sexta-feira Santa,0,0,1,Autumn,0,0,0,14,1,0,0
2017-04-15,5,4,0,,0,1,0,Autumn,0,0,0,15,1,0,0
2017-04-16,6,4,0,,0,1,0,Autumn,0,0,0,16,1,0,0
2017-04-17,0,4,0,,0,0,0,Autumn,0,0,0,17,0,0,0
2017-04-18,1,4,0,,0,0,0,Autumn,0,0,0,18,0,0,0
2017-04-19,2,4,0,,0,0,0,Autumn,0,0,0,19,0,0,0
2017-04-20,3,4,0,,0,0,0,Autumn,0,0,0,20,0,0,0
2017-04-21,4,4,1,Tiradentes,0,0,1,Autumn,0,0,0,21,0,0,0
2017-04-22,5,4,0,,0,1,0,Autumn,0,0,0,22,0,0,0
2017-04-23,6,4,0,,0,1,0,Autumn,0,0,0,23,0,0,0
2017-04-24,0,4,0,,0,0,0,Autumn,0,0,0,24,0,0,1
2017-04-25,1,4,0,,0,0,0,Autumn,0,0,0,25,0,0,0
2017-04-26,2,4,0,,0,0,0,Autumn,0,0,0,26,0,0,0
2017-04-27,3,4,0,,0,0,0,Autumn,0,0,0,27,0,0,0
2017-04-28,4,4,0,,0,0,1,Autumn,0,0,0,28,0,1,0
2017-04-29,5,4,0,,0,1,0,Autumn,0,0,0,29,0,1,0
2017-04-30,6,4,0,,0,1,0,Autumn,0,0,0,30,0,1,0
2017-05-01,0,5,1,Dia do Trabalhador,0,0,0,Autumn,0,0,0,1,0,0,0
2017-05-02,1,5,0,,0,0,0,Autumn,0,0,0,2,0,0,0
2017-05-03,2,5,0,,0,0,0,Autumn,0,0,0,3,0,0,0
2017-05-04,3,5,0,,0,0,0,Autumn,0,0,0,4,0,0,0
2017-05-05,4,5,0,,0,0,1,Autumn,0,0,0,5,0,0,0
2017-05-06,5,5,0,,0,1,0,Autumn,0,0,0,6,0,0,0
2017-05-07,6,5,0,,0,1,0,Autumn,0,0,0,7,0,0,0
2017-05-08,0,5,0,,0,0,0,Autumn,0,0,0,8,0,0,0
2017-05-09,1,5,0,,0,0,0,Autumn,0,0,0,9,0,0,0
2017-05-10,2,5,0,,0,0,0,Autumn,0,0,0,10,0,0,0
2017-05-11,3,5,0,,0,0,0,Autumn,0,0,0,11,0,0,0
2017-05-12,4,5,0,,0,0,1,Autumn,0,0,0,12,0,0,0
2017-05-13,5,5,0,,0,1,0,Autumn,0,0,0,13,0,0,0
2017-05-14,6,5,0,,0,1,0,Autumn,0,0,1,14,1,0,0
2017-05-15,0,5,0,,0,0,0,Autumn,0,0,0,15,1,0,0
2017-05-16,1,5,0,,0,0,0,Autumn,0,0,0,16,1,0,0
2017-05-17,2,5,0,,0,0,0,Autumn,0,0,0,17,0,0,0
2017-05-18,3,5,0,,0,0,0,Autumn,0,0,0,18,0,0,0
2017-05-19,4,5,0,,0,0,1,Autumn,0,0,0,19,0,0,0
2017-05-20,5,5,0,,0,1,0,Autumn,0,0,0,20,0,0,0
2017-05-21,6,5,0,,0,1,0,Autumn,0,0,0,21,0,0,0
2017-05-22,0,5,0,,0,0,0,Autumn,0,0,0,22,0,0,0
2017-05-23,1,5,0,,0,0,0,Autumn,0,0,0,23,0,0,0
2017-05-24,2,5,0,,0,0,0,Autumn,0,0,0,24,0,0,1
2017-05-25,3,5,0,,0,0,0,Autumn,0,0,0,25,0,0,0
2017-05-26,4,5,0,,0,0,1,Autumn,0,0,0,26,0,0,0
2017-05-27,5,5,0,,0,1,0,Autumn,0,0,0,27,0,0,0
2017-05-28,6,5,0,,0,1,0,Autumn,0,0,0,28,0,0,0
2017-05-29,0,5,0,,0,0,0,Autumn,0,0,0,29,0,1,0
2017-05-30,1,5,0,,0,0,0,Autumn,0,0,0,30,0,1,0
2017-05-31,2,5,0,,0,0,0,Autumn,0,0,0,31,0,1,0
2017-06-01,3,6,0,,0,0,0,Winter,0,0,0,1,0,0,0
2017-06-02,4,6,0,,0,0,1,Winter,0,0,0,2,0,0,0
2017-06-03,5,6,0,,0,1,0,Winter,0,0,0,3,0,0,0
2017-06-04,6,6,0,,0,1,0,Winter,0,0,0,4,0,0,0
2017-06-05,0,6,0,,0,0,0,Winter,0,0,0,5,0,0,0
2017-06-06,1,6,0,,0,0,0,Winter,0,0,0,6,0,0,0
2017-06-07,2,6,0,,0,0,0,Winter,0,0,0,7,0,0,0
2017-06-08,3,6,0,,0,0,0,Winter,0,0,0,8,0,0,0
2017-06-09,4,6,0,,0,0,1,Winter,0,0,0,9,0,0,0
2017-06-10,5,6,0,,0,1,0,Winter,0,0,0,10,0,0,0
2017-06-11,6,6,0,,0,1,0,Winter,0,0,0,11,0,0,0
2017-06-12,0,6,0,,0,0,0,Winter,0,0,0,12,0,0,0
2017-06-13,1,6,0,,0,0,0,Winter,0,0,0,13,0,0,0
2017-06-14,2,6,0,,0,0,0,Winter,0,0,0,14,1,0,0
2017-06-15,3,6,0,,0,0,0,Winter,0,0,0,15,1,0,0
2017-06-16,4,6,0,,0,0,1,Winter,0,0,0,16,1,0,0
2017-06-17,5,6,0,,0,1,0,Winter,0,0,0,17,0,0,0
2017-06-18,6,6,0,,0,1,0,Winter,0,0,0,18,0,0,0
2017-06-19,0,6,0,,0,0,0,Winter,0,0,0,19,0,0,0
2017-06-20,1,6,0,,0,0,0,Winter,0,0,0,20,0,0,0
2017-06-21,2,6,0,,0,0,0,Winter,0,0,0,21,0,0,0
2017-06-22,3,6,0,,0,0,0,Winter,0,0,0,22,0,0,0
2017-06-23,4,6,0,,0,0,1,Winter,0,0,0,23,0,0,0
2017-06-24,5,6,0,,0,1,0,Winter,0,0,0,24,0,0,1
2017-06-25,6,6,0,,0,1,0,Winter,0,0,0,25,0,0,0
2017-06-26,0,6,0,,0,0,0,Winter,0,0,0,26,0,0,0
2017-06-27,1,6,0,,0,0,0,Winter,0,0,0,27,0,0,0
2017-06-28,2,6,0,,0,0,0,Winter,0,0,0,28,0,1,0
2017-06-29,3,6,0,,0,0,0,Winter,0,0,0,29,0,1,0
2017-06-30,4,6,0,,0,0,1,Winter,0,0,0,30,0,1,0
2017-07-01,5,7,0,,0,1,0,Winter,0,0,0,1,0,0,0
2017-07-02,6,7,0,,0,1,0,Winter,0,0,0,2,0,0,0
2017-07-03,0,7,0,,0,0,0,Winter,0,0,0,3,0,0,0
2017-07-04,1,7,0,,0,0,0,Winter,0,0,0,4,0,0,0
2017-07-05,2,7,0,,0,0,0,Winter,0,0,0,5,0,0,0
2017-07-06,3,7,0,,0,0,0,Winter,0,0,0,6,0,0,0
2017-07-07,4,7,0,,0,0,1,Winter,0,0,0,7,0,0,0
2017-07-08,5,7,0,,0,1,0,Winter,0,0,0,8,0,0,0
2017-07-09,6,7,0,,0,1,0,Winter,0,0,0,9,0,0,0
2017-07-10,0,7,0,,0,0,0,Winter,0,0,0,10,0,0,0
2017-07-11,1,7,0,,0,0,0,Winter,0,0,0,11,0,0,0
2017-07-12,2,7,0,,0,0,0,Winter,0,0,0,12,0,0,0
2017-07-13,3,7,0,,0,0,0,Winter,0,0,0,13,0,0,0
2017-07-14,4,7,0,,0,0,1,Winter,0,0,0,14,1,0,0
2017-07-15,5,7,0,,0,1,0,Winter,0,0,0,15,1,0,0
2017-07-16,6,7,0,,0,1,0,Winter,0,0,0,16,1,0,0
2017-07-17,0,7,0,,0,0,0,Winter,0,0,0,17,0,0,0
2017-07-18,1,7,0,,0,0,0,Winter,0,0,0,18,0,0,0
2017-07-19,2,7,0,,0,0,0,Winter,0,0,0,19,0,0,0
2017-07-20,3,7,0,,0,0,0,Winter,0,0,0,20,0,0,0
2017-07-21,4,7,0,,0,0,1,Winter,0,0,0,21,0,0,0
2017-07-22,5,7,0,,0,1,0,Winter,0,0,0,22,0,0,0
2017-07-23,6,7,0,,0,1,0,Winter,0,0,0,23,0,0,0
2017-07-24,0,7,0,,0,0,0,Winter,0,0,0,24,0,0,1
2017-07-25,1,7,0,,0,0,0,Winter,0,0,0,25,0,0,0
2017-07-26,2,7,0,,0,0,0,Winter,0,0,0,26,0,0,0
2017-07-27,3,7,0,,0,0,0,Winter,0,0,0,27,0,0,0
2017-07-28,4,7,0,,0,0,1,Winter,0,0,0,28,0,0,0
2017-07-29,5,7,0,,0,1,0,Winter,0,0,0,29,0,1,0
2017-07-30,6,7,0,,0,1,0,Winter,0,0,0,30,0,1,0
2017-07-31,0,7,0,,0,0,0,Winter,0,0,0,31,0,1,0
2017-08-01,1,8,0,,0,0,0,Winter,0,0,0,1,0,0,0
2017-08-02,2,8,0,,0,0,0,Winter,0,0,0,2,0,0,0
2017-08-03,3,8,0,,0,0,0,Winter,0,0,0,3,0,0,0
